Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
14/11/22,XP,FIQE3,Compra,100,3.83,B3I,Confirmada
14/11/22,XP,MOVI3,Compra,6,10.01,B3I,Confirmada
14/11/22,XP,FIQE3,Compra,30,3.83,B3I,Confirmada
16/11/22,XP,FLRY1,Venda,29,0.00,B3I,Confirmada
23/11/22,XP,FIQE3,Compra,12,3.45,B3I,Confirmada
29/11/22,XP,SOMA3,Compra,19,11.45,B3I,Confirmada
29/11/22,XP,VIVA3,Compra,10,22.42,B3I,Confirmada
16/12/22,XP,FIQE3,Compra,1,3.77,B3I,Confirmada
03/01/23,XP,SOMA3,Compra,9,9.27,B3I,Confirmada
13/01/23,XP,EGIE3,Compra,26,38.34,B3I,Confirmada
13/01/23,XP,MGLU3,Venda,200,3.54,B3I,Confirmada
13/01/23,XP,FLRY3,Compra,10,15.51,B3I,Confirmada
13/01/23,XP,MGLU3,Venda,26,3.54,B3I,Confirmada
13/01/23,XP,MGLU3,Venda,20,3.53,B3I,Confirmada
13/01/23,XP,MGLU3,Venda,100,3.55,B3I,Confirmada
13/01/23,XP,MGLU3,Venda,34,3.54,B3I,Confirmada
10/02/23,XP,BBDC3,Compra,16,11.62,B3I,Confirmada
10/02/23,XP,BBDC3,Compra,10,11.61,B3I,Confirmada
10/02/23,XP,BBDC3,Compra,19,11.60,B3I,Confirmada
10/02/23,XP,AGRO3,Compra,15,26.49,B3I,Confirmada
13/02/23,XP,PSSA3,Compra,22,27.28,B3I,Confirmada
13/02/23,XP,MOVI3,Compra,44,6.71,B3I,Confirmada
13/02/23,XP,SBFG3,Compra,35,8.42,B3I,Confirmada
27/02/23,XP,FIQE3,Compra,10,3.25,B3I,Confirmada
01/03/23,XP,FIQE3,Compra,10,3.18,B3I,Confirmada
03/03/23,XP,ENBR3,Venda,95,21.87,B3I,Confirmada
03/03/23,XP,ENBR3,Venda,100,22.02,B3I,Confirmada
07/03/23,XP,PRIO3,Compra,28,34.22,B3I,Confirmada
15/03/23,XP,PRIO3,Compra,2,30.87,B3I,Confirmada
22/03/23,XP,ITSA3,Venda,500,8.16,B3I,Confirmada
22/03/23,XP,ITUB3,Compra,97,20.48,B3I,Confirmada
22/03/23,XP,ITSA3,Venda,39,8.16,B3I,Confirmada
