Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
16/08/21,XP,HCTR12,Venda,6,0.00,B3I,Confirmada
26/08/21,XP,HCTR11,Compra,1,122.01,B3I,Confirmada
15/09/21,XP,HCTR11,Compra,1,120.48,B3I,Confirmada
04/10/21,XP,HGBS11,Compra,2,178.95,B3I,Confirmada
04/10/21,XP,KNRI11,Compra,1,143.42,B3I,Confirmada
04/10/21,XP,HGBS11,Compra,2,178.94,B3I,Confirmada
15/10/21,XP,HGBS11,Compra,1,176.96,B3I,Confirmada
22/10/21,XP,KNRI11,Compra,7,140.99,B3I,Confirmada
22/10/21,XP,HCTR11,Compra,6,122.53,B3I,Confirmada
26/10/21,XP,BCFF11,Compra,1,71.19,B3I,Confirmada
09/11/21,XP,HCTR12,Compra,5,0.00,B3I,Confirmada
16/11/21,XP,HGRU11,Compra,10,109.64,B3I,Confirmada
16/11/21,XP,BCFF11,Compra,3,65.58,B3I,Confirmada
23/11/21,XP,HCTR12,Venda,5,0.00,B3I,Confirmada
30/11/21,XP,HGBS11,Compra,3,159.42,B3I,Confirmada
15/12/21,XP,TGAR11,Compra,2,117.15,B3I,Confirmada
16/12/21,XP,BCFF11,Compra,1,69.87,B3I,Confirmada
11/02/22,XP,HCTR12,Compra,3,0.00,B3I,Confirmada
25/02/22,XP,HCTR12,Venda,3,0.00,B3I,Confirmada
03/03/22,XP,BCFF11,Venda,48,68.31,B3I,Confirmada
05/04/22,XP,HGBS11,Compra,3,179.71,B3I,Confirmada
14/04/22,XP,HGRE11,Compra,2,128.99,B3I,Confirmada
14/04/22,XP,HGLG12,Compra,4,0.00,B3I,Confirmada
19/04/22,XP,BTAL11,Compra,32,100.30,B3I,Confirmada
19/04/22,XP,HCTR11,Venda,26,103.59,B3I,Confirmada
19/04/22,XP,HCTR11,Venda,5,103.56,B3I,Confirmada
19/04/22,XP,BTLG11,Compra,31,103.38,B3I,Confirmada
19/04/22,XP,TGAR11,Venda,27,119.26,B3I,Confirmada
02/05/22,XP,HGLG12,Venda,4,0.00,B3I,Confirmada
15/07/22,XP,ALZR12,Compra,14,0.00,B3I,Confirmada
28/07/22,XP,ALZR12,Venda,14,0.00,B3I,Confirmada
08/09/22,XP,HGLG11,Compra,3,168.92,B3I,Confirmada
15/09/22,XP,XPML12,Compra,5,0.00,B3I,Confirmada
16/09/22,XP,KNRI11,Compra,1,150.23,B3I,Confirmada
28/09/22,XP,XPML12,Venda,5,0.00,B3I,Confirmada
18/10/22,XP,BTLG11,Compra,2,102.70,B3I,Confirmada
19/10/22,XP,BTLG11,Compra,4,102.59,B3I,Confirmada
31/10/22,XP,KNRI11,Compra,1,148.08,B3I,Confirmada
31/10/22,XP,BTAL11,Compra,7,99.06,B3I,Confirmada
14/11/22,XP,HGRE11,Compra,3,131.30,B3I,Confirmada
14/11/22,XP,BTLG11,Compra,1,100.96,B3I,Confirmada
16/11/22,XP,BTAL11,Compra,4,98.90,B3I,Confirmada
23/11/22,XP,BTLG11,Compra,3,99.48,B3I,Confirmada
29/11/22,XP,BTAL11,Compra,1,90.02,B3I,Confirmada
29/11/22,XP,HGRE11,Compra,4,125.98,B3I,Confirmada
08/12/22,XP,HGBS11,Compra,1,188.00,B3I,Confirmada
08/12/22,XP,HGBS11,Compra,2,188.00,B3I,Confirmada
13/12/22,XP,BTLG11,Compra,2,98.78,B3I,Confirmada
13/12/22,XP,BTLG11,Compra,4,98.70,B3I,Confirmada
16/12/22,XP,XPML11,Compra,6,96.00,B3I,Confirmada
03/01/23,XP,BTAL11,Compra,4,95.29,B3I,Confirmada
13/01/23,XP,KNRI11,Compra,2,139.39,B3I,Confirmada
13/01/23,XP,HGRE11,Compra,4,113.61,B3I,Confirmada
30/01/23,XP,BTAL11,Compra,4,90.37,B3I,Confirmada
10/02/23,XP,HGBS11,Compra,4,181.27,B3I,Confirmada
10/02/23,XP,HGRE11,Compra,1,108.49,B3I,Confirmada
10/02/23,XP,HGRE11,Compra,7,108.50,B3I,Confirmada
27/02/23,XP,BTLG11,Compra,4,92.73,B3I,Confirmada
01/03/23,XP,BTAL11,Compra,1,85.76,B3I,Confirmada
01/03/23,XP,KNRI11,Compra,1,138.38,B3I,Confirmada
15/03/23,XP,BTAL11,Compra,1,86.33,B3I,Confirmada
15/03/23,XP,BTAL11,Compra,8,86.34,B3I,Confirmada
22/03/23,XP,XPML11,Compra,4,96.38,B3I,Confirmada
22/03/23,XP,KNRI11,Compra,3,135.92,B3I,Confirmada
22/03/23,XP,XPML11,Compra,1,96.36,B3I,Confirmada
24/03/23,XP,HGLG11,Compra,1,159.23,B3I,Confirmada
24/03/23,XP,HGLG11,Compra,1,159.24,B3I,Confirmada
14/04/23,XP,ALZR11,Compra,3,113.68,B3I,Confirmada
28/04/23,XP,HGLG11,Compra,3,162.50,B3I,Confirmada
09/05/23,XP,ALZR12,Compra,15,0.00,B3I,Confirmada
22/05/23,XP,HGLG12,Compra,14,0.00,B3I,Confirmada
22/05/23,XP,ALZR12,Venda,15,0.00,B3I,Confirmada
29/05/23,XP,XPML12,Compra,7,0.00,B3I,Confirmada
01/06/23,XP,HGLG12,Venda,14,0.00,B3I,Confirmada
09/06/23,XP,XPML12,Venda,7,0.00,B3I,Confirmada
10/07/23,XP,XPML12,Compra,9,0.00,B3I,Confirmada
20/07/23,XP,XPML12,Venda,9,0.00,B3I,Confirmada
01/08/23,Itaú,ALZR11,Compra,3,115.74,B3I,Confirmada
10/08/23,XP,BRCO11,Compra,1,125.59,B3I,Confirmada
10/08/23,XP,BRCO11,Compra,10,125.60,B3I,Confirmada
11/08/23,XP,BTLG12,Compra,14,0.00,B3I,Confirmada
24/08/23,XP,BTLG12,Venda,14,0.00,B3I,Confirmada
25/08/23,XP,HGBS12,Compra,6,0.00,B3I,Confirmada
04/09/23,XP,XPLG12,Compra,6,0.00,B3I,Confirmada
05/09/23,XP,HGBS12,Venda,6,0.00,B3I,Confirmada
15/09/23,XP,XPLG12,Venda,6,0.00,B3I,Confirmada
10/11/23,XP,BTLG11,Compra,1,99.79,B3I,Confirmada
10/11/23,XP,BRCO11,Compra,5,123.00,B3I,Confirmada
24/11/23,XP,BRCO11,Compra,4,121.49,B3I,Confirmada
24/11/23,XP,BRCO11,Compra,1,121.48,B3I,Confirmada
04/12/23,XP,BRCO11,Compra,2,121.52,B3I,Confirmada
21/12/23,XP,BRCO11,Compra,2,119.99,B3I,Confirmada
21/12/23,XP,BRCO11,Compra,10,120.00,B3I,Confirmada
10/01/24,XP,XPML12,Compra,12,0.00,B3I,Confirmada
15/01/24,XP,BRCO11,Compra,14,125.09,B3I,Confirmada
22/01/24,XP,XPML12,Venda,12,0.00,B3I,Confirmada
31/01/24,XP,BTLG11,Compra,3,102.39,B3I,Confirmada
01/02/24,XP,BTLG12,Compra,21,0.00,B3I,Confirmada
15/02/24,XP,BTLG12,Venda,21,0.00,B3I,Confirmada
27/02/24,XP,HGLG11,Compra,3,167.35,B3I,Confirmada
08/03/24,XP,HGRU11,Compra,4,137.15,B3I,Confirmada
15/03/24,XP,ALZR11,Compra,4,117.78,B3I,Confirmada
20/03/24,XP,BRCO12,Compra,8,0.00,B3I,Confirmada
26/03/24,XP,BRCO12,Venda,8,0.00,B3I,Confirmada
26/03/24,XP,XPML12,Compra,18,0.00,B3I,Confirmada
28/03/24,XP,KNRI12,Compra,8,0.00,B3I,Confirmada
28/03/24,XP,BTLG11,Compra,11,106.31,B3I,Confirmada
08/04/24,XP,XPML12,Venda,18,0.00,B3I,Confirmada
10/04/24,XP,KNRI12,Venda,8,0.00,B3I,Confirmada
